order_id,created_at,customer_ref,customer_name,pincode,gross_amount_paise,status
order_zt3dpzxiyk4enj,05/03/2026,cust_pdq4pws,Arjun Kulkarni,110014,68600,paid
order_fkgf9luv5yko0q,14/03/2026,cust_r2ozc9x,Sneha Bose,600117,80700,paid
order_h9yyb8jkt4p3wj,11/03/2026,cust_o57zbyw,Sneha Patel,400072,709400,paid
order_jgl3ntk4jazfo2,12/03/2026,cust_ajy3k6t,Vikram Sharma,302012,59900,paid
order_74o2a8lvyubov4,17/03/2026,cust_lkcbx38,Divya Nair,560039,150600,paid
order_4uni8h38vbr1jn,17/03/2026,cust_iwele44,Rohan Chatterjee,560064,43300,paid
order_pl3p6nmk0413qt,15/01/2026,cust_78vhx9q,Joseph Pillai,110050,301900,paid
order_7ghrsbrgx4mw2i,30/03/2026,cust_j6tm8bs,Kavya Desai,560094,128100,paid
order_nb5578f6j6lkcj,08/02/2026,cust_t8zjilm,Karthik Pillai,400038,68000,paid
order_xqb59tyocslbup,01/02/2026,cust_7q8w1hh,Ananya Patel,500089,76500,paid
order_4tgw7ml03tmdhc,02/03/2026,cust_w4wolnl,Imran Kulkarni,411018,31100,paid
order_2w8br6dh9gtrge,08/02/2026,cust_mdzg90q,Kavya Rao,560007,54300,paid
order_3fjrsssmb3lgfb,09/01/2026,cust_f2wx0pj,Pooja Bose,560014,326400,paid
order_c23kfmu8h490vc,16/03/2026,cust_rw2bkhv,Priya Patel,302033,82000,paid
order_s5kcpbpaw8oo5c,09/01/2026,cust_u84m0ac,Nandini Patel,600099,44400,paid
order_wmtlad3ymncg8d,08/03/2026,cust_j2f4bc6,Sneha Rao,110028,111000,paid
order_z8zoi91c2firu1,18/01/2026,cust_vh8az5d,Ritu Bose,400068,98000,paid
order_yim7ge4s9v8t9l,09/03/2026,cust_15at6x2,Rohan Nair,600068,42500,paid
order_3opokk2hctyiyy,18/03/2026,cust_dlgguxd,Joseph Fernandes,400060,131600,paid
order_bd10pcm6ot3icb,14/02/2026,cust_oy904mx,Rahul Desai,400023,117600,paid
order_fzk3xofui3mfn6,30/01/2026,cust_pm67qd6,Sandeep Menon,400008,152700,paid
order_bxcteeifjuoxtw,16/02/2026,cust_bqc1owc,Divya Khan,700105,45300,paid
order_m7dexalpnkzcj7,16/03/2026,cust_n5hohcq,Rohan Joshi,380006,141200,paid
order_vniptch6c845s2,05/01/2026,cust_89iyeme,Harish Nair,700133,65400,paid
order_r8afy4dby84is4,19/03/2026,cust_rp8yqk1,Anjali Kulkarni,500072,70900,paid
order_5qrz21gtwln2im,15/02/2026,cust_tcpgube,Priya Iyer,600090,133700,paid
order_codmrz7mqn3k2n,03/03/2026,cust_yptzmw6,Lakshmi Kulkarni,400052,339600,paid
order_wblwf5xuv159ep,29/03/2026,cust_k31hnw8,Ritu Joshi,500093,306500,paid
order_c6u2rtaqr2d7x5,06/01/2026,cust_f8b63lc,Lakshmi Gupta,400023,31400,paid
order_o3l23vh0jc47du,04/01/2026,cust_zp11mzz,Lakshmi Chatterjee,560047,356100,paid
order_t5ohaoxwgfnyhz,27/01/2026,cust_8fcilmg,Manish Reddy,380045,43900,paid
order_84flgiyy8780o6,12/01/2026,cust_tbt2xdu,Nandini Mehta,560082,67200,paid
order_e4op3iv79dgnb2,06/01/2026,cust_oidq0o1,Pooja Bose,411012,102700,paid
order_ynrybrdb21iyld,26/01/2026,cust_cc8ur01,Kavya Menon,500005,40500,paid
order_26o769d6b98dhl,12/03/2026,cust_3xinmpu,Lakshmi Nair,400069,97400,paid
order_qh03uo74jbxdmq,13/02/2026,cust_wetenem,Vikram Bose,500043,90200,paid
order_05vhzgqiji7qz1,31/01/2026,cust_zzdt7j4,Rahul Chatterjee,560095,37000,paid
order_usk9gzyhwzupz1,06/02/2026,cust_11bjmry,Manish Reddy,411021,51200,paid
order_hlk9v32wbvgnw2,22/02/2026,cust_l8alpnm,Meera Mehta,411010,736800,paid
order_a877pe1uoyijxn,16/02/2026,cust_mo2ukfx,Nandini Reddy,560063,325000,paid
