order_id,created_at,customer_ref,customer_name,pincode,gross_amount_paise,status
order_2idqyk9jt5zej9,05/01/2026,cust_jcro6sp,Nandini Rao,700101,88800,paid
order_410j4uzq42bpc5,29/01/2026,cust_9abryru,Fatima Desai,560033,143100,paid
order_cw0wmj15y1pix6,01/01/2026,cust_sv5wk84,Rohan Patel,400065,85900,paid
order_vgfuesxcv2aifo,23/03/2026,cust_7ccou9j,Meera Patel,380034,90100,paid
order_t97h0pcwrbf1jq,29/03/2026,cust_4vnna1z,Sneha Fernandes,380012,58500,paid
order_2yp13wswjk3hj8,04/02/2026,cust_i5nq290,Harish Joshi,110042,90700,paid
order_nicsn25vwy3mem,24/03/2026,cust_1mzalnx,Arjun Rao,560100,57400,paid
order_5l7tsr84gffzvc,18/01/2026,cust_2hwy2sb,Aarav Bose,110026,45100,paid
order_maqbpn2l3llij9,17/02/2026,cust_61i7uok,Lakshmi Kulkarni,110050,106800,paid
order_lw6sosnzikrz1t,04/01/2026,cust_0tgivyh,Rahul Pillai,400054,90600,paid
order_lafhyhvc57hl8z,28/01/2026,cust_2w3w45h,Divya Chatterjee,560084,65000,paid
order_fmixl52owmaeg4,14/01/2026,cust_45lqtc3,Sandeep Chatterjee,500044,73600,paid
order_brz310q12tj52s,27/01/2026,cust_dfm5gg9,Joseph Fernandes,110057,120500,paid
order_334yxqy6r15zu8,17/03/2026,cust_0x5p54h,Rohan Kulkarni,560012,124200,paid
order_n6y6jop0c0ixqz,17/03/2026,cust_sxwg0w4,Sneha Iyer,600062,44900,paid
order_qkt4kcp3qs1du7,22/01/2026,cust_f5jshxe,Karthik Patel,400091,251100,paid
order_lif1k56rgxrnkf,02/02/2026,cust_rpv6gwy,Kavya Fernandes,400085,542600,paid
order_cg72bpou340nel,20/02/2026,cust_ces5qie,Ritu Chatterjee,400100,72000,paid
order_7x3lk0nm2kep9n,09/03/2026,cust_shibcq1,Rahul Gupta,411010,230900,paid
order_2aa03dkv85oweg,28/02/2026,cust_tvz3px9,Lakshmi Bose,110076,38100,paid
order_box7t3vxjy91ze,02/03/2026,cust_6fhh449,Meera Mehta,411006,240500,paid
order_i71e4jgol0ok51,07/01/2026,cust_d545ngc,Manish Khan,380041,91600,paid
order_a324oso70bmel1,04/03/2026,cust_shzl67n,Joseph Khan,600016,324000,paid
order_raibl4j10y7ok1,28/02/2026,cust_l9jsf30,Priya Kulkarni,500003,76100,paid
order_f2esqwk13a2gp5,04/02/2026,cust_78vwt3t,Sandeep Rao,560018,78400,paid
order_4ma7x2xt1yayws,30/03/2026,cust_r6tk3am,Manish Fernandes,380028,76500,paid
order_66u53bsn9hjbbw,20/03/2026,cust_vh2dduw,Vikram Mehta,560019,69500,paid
order_gvrr0ibrrj0tyq,31/01/2026,cust_58835in,Divya Sharma,560096,33400,paid
order_iq95aaaskikdf1,31/01/2026,cust_53fvkwr,Meera Menon,600074,136400,paid
order_c8l559z9ulw6e2,28/03/2026,cust_tjxdvmd,Tanvi Chatterjee,600105,77100,paid
order_0s8piivvjb22nf,07/03/2026,cust_btwfeu3,Fatima Mehta,682012,55100,paid
order_11dzx88c0udo2p,12/02/2026,cust_dywtn4h,Anjali Bose,380043,340700,paid
order_glb9l66muvkymf,06/01/2026,cust_p9yddku,Sneha Patel,400090,195600,paid
order_dwwy8zouddlpbh,29/03/2026,cust_br520by,Ananya Gupta,302016,290300,paid
order_8x8in5i3hxr1g1,06/03/2026,cust_cdg5x4p,Aarav Mehta,110067,241000,paid
order_4euv5ner2gm449,11/03/2026,cust_6d1qeq3,Lakshmi Kulkarni,560094,43800,paid
order_vtfoslid3292gm,16/03/2026,cust_8q7q70j,Nandini Khan,400022,63300,paid
order_9n7wkwuty0bc44,09/02/2026,cust_2vg5j3t,Arjun Kulkarni,400082,64500,paid
